,i,j,2,3,4,5,6,7,8,9,sum
0,0,1,0.022440580703464396,0.040970950356985066,0.018071790622509992,0.007598686720862797,0.0029618923990313894,0.0014283170107709773,0.0006215265476032628,0.00016350022986791741,0.09425724459109579
1,0,2,0.02550951115959813,0.03688253543861113,0.018829514408113403,0.007558475832408181,0.0030124808555684283,0.00142492891096908,0.0006149776262868219,0.00016350022986791741,0.09399592446142309
2,0,3,0.0036171343095190668,0.015497809965526571,0.017153957456846756,0.007408455674528491,0.0029401091699215987,0.0014232534091996386,0.0006170755721491416,0.00016350022986791741,0.048821295787559185
3,0,4,0.003595327409940624,0.006601082851657962,0.011337621319783216,0.007140952724521206,0.0029628633936843573,0.0014442052652560674,0.0006178450656731725,0.00016350022986791741,0.03386339826038452
4,0,5,0.0031504863789875155,0.006168849464498965,0.009607177578607073,0.006387210405354622,0.002960175614018485,0.0014465130759425495,0.0006178476648900509,0.00016350022986791741,0.030501760412167178
5,0,6,0.00358437719796104,0.004517426209018308,0.006464603820931266,0.004984058960292873,0.0027073317627681857,0.0014386237692851132,0.0006192051920980629,0.00016350022986791741,0.024479127142222768
6,0,7,0.0016664185860629896,0.0031720603439059905,0.004625569493238486,0.0039348935938977704,0.0024134286714819577,0.0013733275173771948,0.0006188793252824579,0.00016350022986791741,0.017968077761114764
7,0,8,0.0003398248179064875,0.002170379057686503,0.0038853142628724417,0.0033163609125605713,0.002128951907359711,0.0012740103760181885,0.0005999523648001495,0.00016350022986791741,0.013878293929071969
8,1,2,0.035929954053663275,0.06070201538311224,0.026429488215249715,0.00986827485508954,0.0034190856333341894,0.0014890314069131822,0.000630303338320018,0.00016350022986791741,0.13863165311555004
9,1,3,0.024658064360369908,0.038070108639443045,0.025474189322179694,0.009691401071741493,0.00335740926588242,0.0014918583044146176,0.0006324012841823376,0.00016350022986791741,0.10353893247808142
10,1,4,0.007510054773677086,0.015493620472233554,0.018462489074134596,0.009302395825436943,0.0033443573757139904,0.0015035898902608289,0.0006331707777063686,0.00016350022986791741,0.0564131784190313
11,1,5,0.003461028632556914,0.007033859045553035,0.01309553090395368,0.008444140607030902,0.0033307131729452153,0.0015063029153414905,0.000633173376923247,0.00016350022986791741,0.0376682488841724
12,1,6,0.0034949054052646087,0.00569799688234007,0.009248413972756692,0.006723206797044452,0.003086457730953781,0.0015050338515579249,0.0006345309041312589,0.00016350022986791741,0.030554045773916707
13,1,7,0.002325250119332904,0.0038469536763580713,0.00616753190862417,0.0048875141207154384,0.0026268708699421703,0.0014261038481703662,0.0006342050373156539,0.00016350022986791741,0.02207792981032669
14,1,8,0.0010699513390332765,0.002405080780291363,0.004482004571201764,0.003805545634254079,0.0022792840721542708,0.0013172594783380411,0.0006152780768333455,0.00016350022986791741,0.016137904181974055
15,2,3,0.01719848044298617,0.05262839875633775,0.032745342507504,0.010841079323719922,0.003615961064321928,0.0015209316876895573,0.0006258523628658967,0.00016350022986791741,0.11933954637529313
16,2,4,0.01297743697945208,0.03194705391822456,0.025556033514274074,0.010530111063005321,0.0035963453867043035,0.0015333330836127853,0.0006266218563899277,0.00016350022986791741,0.08693043603153096
17,2,5,0.006388485776398651,0.014870820390308293,0.018661406328466367,0.009490466714095199,0.0035661341116021163,0.0015300818282386911,0.0006266244556068061,0.00016350022986791741,0.05529751983458405
18,2,6,0.002515784140330423,0.0043880507056002814,0.009652159131237606,0.007833751441029848,0.0033092751498534603,0.0015293059617506955,0.0006279819828148181,0.00016350022986791741,0.030019808742485048
19,2,7,0.001382664044551599,0.003020094650495955,0.006827398889060947,0.005559503469573109,0.002880267134095985,0.0014568270021492477,0.000627656115999213,0.00016350022986791741,0.021917911535793973
20,2,8,0.0007203574625121498,0.0025279478418117965,0.00458532716020831,0.0039426452080387675,0.002435748057248611,0.001346181781747825,0.0006087291555169046,0.00016350022986791741,0.01633043689695228
21,3,4,0.01921388348903696,0.05755887434961882,0.03737207539290345,0.012089394850255062,0.0037374545872922993,0.0015492152368436949,0.0006287198022522473,0.00016350022986791741,0.13231311793807043
22,3,5,0.010106393971427409,0.0377236915596778,0.02767071138448321,0.010857245225430854,0.0036621772607556818,0.0015434996141045305,0.0006287224014691257,0.00016350022986791741,0.09235594164721653
23,3,6,0.004074143705581923,0.013595711934860486,0.017388717101760345,0.008654784636366403,0.00334779025959743,0.0015402501093808544,0.0006300799286771378,0.00016350022986791741,0.0493949779060925
24,3,7,0.0009015494636889579,0.003114566381094905,0.007357546501390294,0.006307889970876498,0.0029268134618268956,0.0014659086879380099,0.0006297540618615327,0.00016350022986791741,0.02286752875854501
25,3,8,0.0018642330438818954,0.003731636140337745,0.0062654505737849845,0.004695366972258836,0.0025150638288565473,0.0013580335367808952,0.0006108271013792242,0.00016350022986791741,0.021204111427148047
26,4,5,0.011041693286579732,0.05387472527164601,0.038314717966062936,0.011932073357582037,0.0037615976850794456,0.0015610647277005706,0.0006294918949931567,0.00016350022986791741,0.1212788644195118
27,4,6,0.008599440014366687,0.02950160403879453,0.024901837025367097,0.009462277983937988,0.003401348368156482,0.001554567545567669,0.0006308494222011687,0.00016350022986791741,0.07821542462825953
28,4,7,0.004876460987449672,0.011367410679847614,0.014311903582189374,0.006874802974296452,0.002952408764128579,0.0014801212966664794,0.0006305235553855636,0.00016350022986791741,0.04265713206983165
29,4,8,0.0011707050800037865,0.004500446133212496,0.0076650928679156925,0.005055831267000555,0.002504584904133662,0.0013661505877186635,0.0006115965949032552,0.00016350022986791741,0.023037907664756024
30,5,6,0.0036737095558227293,0.03309731534273492,0.028730900202883686,0.009876259573556017,0.0034524775443320593,0.0015547272728580336,0.0006308520214180471,0.00016350022986791741,0.08117974174347342
31,5,7,0.003763245308369306,0.017153824340468544,0.01675236903115248,0.007155368205901136,0.002989172290783602,0.0014833732439312197,0.000630526154602442,0.00016350022986791741,0.05009137880507665
32,5,8,0.0035361080040365797,0.00782301498002601,0.009877717942351491,0.005276821224777159,0.0025285443545528174,0.0013706551720297497,0.0006115991941201336,0.00016350022986791741,0.03118796110176186
33,6,7,0.0028679310963447687,0.01810604444911256,0.017910345110645112,0.007398778270146387,0.0029878269818155133,0.001483102389211952,0.0006318836818104541,0.00016350022986791741,0.05154941220895467
34,6,8,0.0015321515313414412,0.008852742615720614,0.0094679328345615,0.005184516648680029,0.002517437253913286,0.0013704194766473153,0.0006129567213281457,0.00016350022986791741,0.029701657312060252
35,7,8,0.0013054115851261487,0.010660278221484508,0.011748742453069155,0.005755955417681722,0.00256111224692928,0.0013598927992471814,0.0006126308545125407,0.00016350022986791741,0.03416752380791846
